Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60846 > 44.218.155.151:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 44.218.155.151:https > 192.168.9.2:60846 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60844 > 194.135.85.48:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60844 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60844 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60824 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60824 FA / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60824 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60825 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60825 FA / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60825 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60843 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 194.135.85.48:https > 192.168.9.2:60843 FA / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60843 > 194.135.85.48:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https S | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 SA | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Padding | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 149.154.167.50:https > 192.168.9.2:60827 PA / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60827 > 149.154.167.50:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 192.168.9.2:60873 > 40.126.53.7:https A | Protocol: tcp | Encryption: TLS (HTTPS)
Packet: Ether / IP / TCP 40.126.53.7:https > 192.168.9.2:60873 A / Raw | Protocol: tcp | Encryption: TLS (HTTPS)
